tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,key,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,0,10,64,,
0,control_change,0,0,2,,,,,,,,,0,7,127,,
0,control_change,0,0,2,,,,,,,,,0,7,127,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,64,,
0,control_change,0,0,1,,,,,,,,,0,10,64,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,control_change,0,0,3,,,,,,,,,0,10,64,,
0,control_change,0,0,2,,,,,,,,,0,10,64,,
0,control_change,0,0,3,,,,,,,,,0,7,127,,
0,control_change,0,0,3,,,,,,,,,0,10,64,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,0,7,127,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
768,time_signature,0,1,0,3,4,24,8,,,,,,,,,
768,key_signature,0,1,0,,,,,,E,,,,,,,
768,set_tempo,768,1,0,,,,,1428571,,,,,,,,
768,note_on,768,0,3,,,,,,,,,0,,,44,45
960,note_on,0,0,3,,,,,,,,,0,,,51,75
960,note_on,192,0,3,,,,,,,,,0,,,44,0
1248,note_on,0,0,3,,,,,,,,,0,,,49,60
1248,note_on,288,0,3,,,,,,,,,0,,,51,0
1344,note_on,0,0,3,,,,,,,,,0,,,49,55
1344,note_on,96,0,3,,,,,,,,,0,,,49,0
1440,note_on,96,0,3,,,,,,,,,0,,,49,0
1440,note_on,0,0,3,,,,,,,,,0,,,48,50
1536,note_on,96,0,3,,,,,,,,,0,,,48,0
1536,note_on,0,0,3,,,,,,,,,0,,,57,75
1824,note_on,288,0,3,,,,,,,,,0,,,57,0
1824,note_on,0,0,3,,,,,,,,,0,,,56,60
1920,note_on,0,0,3,,,,,,,,,0,,,55,59
1920,time_signature,1152,1,0,4,4,24,8,,,,,,,,,
1920,note_on,96,0,3,,,,,,,,,0,,,56,0
1968,note_on,48,0,3,,,,,,,,,0,,,55,0
1968,note_on,0,0,3,,,,,,,,,0,,,56,59
2016,note_on,48,0,3,,,,,,,,,0,,,56,0
2016,note_on,0,0,3,,,,,,,,,0,,,57,59
2064,note_on,0,0,3,,,,,,,,,0,,,56,58
2064,note_on,48,0,3,,,,,,,,,0,,,57,0
2112,note_on,48,0,3,,,,,,,,,0,,,56,0
2112,note_on,0,0,3,,,,,,,,,0,,,59,57
2160,note_on,48,0,3,,,,,,,,,0,,,59,0
2160,note_on,0,0,3,,,,,,,,,0,,,57,56
2208,note_on,48,0,3,,,,,,,,,0,,,57,0
2208,note_on,0,0,3,,,,,,,,,0,,,52,55
2256,note_on,0,0,3,,,,,,,,,0,,,53,54
2256,note_on,48,0,3,,,,,,,,,0,,,52,0
2304,note_on,48,0,3,,,,,,,,,0,,,53,0
2304,note_on,0,0,3,,,,,,,,,0,,,54,53
2352,note_on,48,0,3,,,,,,,,,0,,,54,0
2352,note_on,0,0,3,,,,,,,,,0,,,53,52
2400,note_on,48,0,3,,,,,,,,,0,,,53,0
2400,note_on,0,0,3,,,,,,,,,0,,,56,51
2448,note_on,48,0,3,,,,,,,,,0,,,56,0
2448,note_on,0,0,3,,,,,,,,,0,,,54,50
2496,note_on,48,0,3,,,,,,,,,0,,,54,0
2496,note_on,0,0,3,,,,,,,,,0,,,57,49
2544,note_on,48,0,3,,,,,,,,,0,,,57,0
2544,note_on,0,0,3,,,,,,,,,0,,,56,48
2592,note_on,48,0,3,,,,,,,,,0,,,56,0
2592,note_on,0,0,3,,,,,,,,,0,,,49,47
2640,note_on,48,0,3,,,,,,,,,0,,,49,0
2640,note_on,0,0,3,,,,,,,,,0,,,51,46
2688,time_signature,768,1,0,3,4,24,8,,,,,,,,,
2688,note_on,48,0,3,,,,,,,,,0,,,51,0
2688,note_on,0,0,3,,,,,,,,,0,,,52,45
2694,note_on,6,0,3,,,,,,,,,0,,,52,0
2696,note_on,2,0,3,,,,,,,,,0,,,64,75
2784,note_on,0,0,2,,,,,,,,,0,,,73,45
2784,note_on,2784,0,2,,,,,,,,,0,,,68,45
2878,note_on,0,0,2,,,,,,,,,0,,,73,0
2878,note_on,94,0,2,,,,,,,,,0,,,68,0
2880,note_on,2,0,2,,,,,,,,,0,,,68,45
2880,note_on,0,0,2,,,,,,,,,0,,,73,45
2974,note_on,94,0,2,,,,,,,,,0,,,68,0
2974,note_on,0,0,2,,,,,,,,,0,,,73,0
2976,note_on,0,0,2,,,,,,,,,0,,,73,45
2976,note_on,2,0,2,,,,,,,,,0,,,68,45
3040,note_on,344,0,3,,,,,,,,,0,,,64,0
3070,note_on,94,0,2,,,,,,,,,0,,,68,0
3070,note_on,0,0,2,,,,,,,,,0,,,73,0
3072,note_on,32,0,3,,,,,,,,,0,,,63,60
3072,note_on,2,0,2,,,,,,,,,0,,,68,45
3072,note_on,0,0,2,,,,,,,,,0,,,73,45
3166,note_on,94,0,2,,,,,,,,,0,,,68,0
3166,note_on,0,0,2,,,,,,,,,0,,,73,0
3168,note_on,2,0,2,,,,,,,,,0,,,68,45
3168,note_on,0,0,2,,,,,,,,,0,,,73,45
3214,note_on,142,0,3,,,,,,,,,0,,,63,0
3216,note_on,2,0,3,,,,,,,,,0,,,61,58
3262,note_on,94,0,2,,,,,,,,,0,,,68,0
3262,note_on,0,0,2,,,,,,,,,0,,,73,0
3262,note_on,46,0,3,,,,,,,,,0,,,61,0
3264,note_on,3264,0,1,,,,,,,,,0,,,76,45
3264,note_on,2,0,2,,,,,,,,,0,,,64,45
3264,note_on,0,0,2,,,,,,,,,0,,,69,45
3264,note_on,2,0,3,,,,,,,,,0,,,61,57
3358,note_on,94,0,2,,,,,,,,,0,,,64,0
3358,note_on,0,0,2,,,,,,,,,0,,,69,0
3360,note_on,2,0,2,,,,,,,,,0,,,64,45
3360,note_on,0,0,2,,,,,,,,,0,,,69,45
3454,note_on,94,0,2,,,,,,,,,0,,,64,0
3454,note_on,0,0,2,,,,,,,,,0,,,69,0
3456,note_on,2,0,2,,,,,,,,,0,,,64,45
3456,note_on,0,0,2,,,,,,,,,0,,,69,45
3550,note_on,94,0,2,,,,,,,,,0,,,64,0
3550,note_on,0,0,2,,,,,,,,,0,,,69,0
3552,note_on,2,0,2,,,,,,,,,0,,,64,45
3552,note_on,0,0,2,,,,,,,,,0,,,69,45
3568,note_on,304,0,3,,,,,,,,,0,,,61,0
3600,note_on,32,0,3,,,,,,,,,0,,,63,51
3622,note_on,22,0,3,,,,,,,,,0,,,63,0
3624,note_on,2,0,3,,,,,,,,,0,,,61,51
3646,note_on,0,0,2,,,,,,,,,0,,,69,0
3646,note_on,94,0,2,,,,,,,,,0,,,64,0
3646,note_on,22,0,3,,,,,,,,,0,,,61,0
3648,note_on,2,0,2,,,,,,,,,0,,,64,45
3648,note_on,0,0,2,,,,,,,,,0,,,69,45
3648,note_on,0,0,1,,,,,,,,,0,,,75,45
3648,note_on,2,0,3,,,,,,,,,0,,,59,51
3648,note_on,384,0,1,,,,,,,,,0,,,76,0
3742,note_on,0,0,2,,,,,,,,,0,,,69,0
3742,note_on,94,0,2,,,,,,,,,0,,,64,0
3744,note_on,0,0,2,,,,,,,,,0,,,69,45
3744,note_on,2,0,2,,,,,,,,,0,,,64,45
3790,note_on,142,0,3,,,,,,,,,0,,,59,0
3792,note_on,0,0,1,,,,,,,,,0,,,73,45
3792,note_on,2,0,3,,,,,,,,,0,,,57,47
3792,note_on,144,0,1,,,,,,,,,0,,,75,0
3838,note_on,46,0,3,,,,,,,,,0,,,57,0
3838,note_on,0,0,2,,,,,,,,,0,,,69,0
3838,note_on,94,0,2,,,,,,,,,0,,,64,0
3840,note_on,2,0,2,,,,,,,,,0,,,63,45
3840,note_on,2,0,3,,,,,,,,,0,,,57,45
3840,note_on,0,0,2,,,,,,,,,0,,,66,45
3840,note_on,48,0,1,,,,,,,,,0,,,73,0
3840,note_on,0,0,1,,,,,,,,,0,,,73,45
3934,note_on,94,0,2,,,,,,,,,0,,,63,0
3934,note_on,0,0,2,,,,,,,,,0,,,66,0
3936,note_on,2,0,2,,,,,,,,,0,,,63,45
3936,note_on,0,0,2,,,,,,,,,0,,,66,45
4030,note_on,94,0,2,,,,,,,,,0,,,63,0
4030,note_on,0,0,2,,,,,,,,,0,,,66,0
4032,note_on,192,0,1,,,,,,,,,0,,,73,0
4032,note_on,0,0,1,,,,,,,,,0,,,72,45
4032,note_on,0,0,2,,,,,,,,,0,,,66,45
4032,note_on,2,0,2,,,,,,,,,0,,,63,45
4078,note_on,238,0,3,,,,,,,,,0,,,57,0
4080,note_on,2,0,3,,,,,,,,,0,,,56,45
4126,note_on,0,0,2,,,,,,,,,0,,,66,0
4126,note_on,94,0,2,,,,,,,,,0,,,63,0
4126,note_on,46,0,3,,,,,,,,,0,,,56,0
4128,note_on,0,0,2,,,,,,,,,0,,,66,45
4128,note_on,2,0,3,,,,,,,,,0,,,55,45
4128,note_on,2,0,2,,,,,,,,,0,,,63,45
4174,note_on,46,0,3,,,,,,,,,0,,,55,0
4176,note_on,2,0,3,,,,,,,,,0,,,56,45
4222,note_on,46,0,3,,,,,,,,,0,,,56,0
4222,note_on,94,0,2,,,,,,,,,0,,,63,0
4222,note_on,0,0,2,,,,,,,,,0,,,66,0
4224,note_on,2,0,3,,,,,,,,,0,,,59,45
4224,note_on,2,0,2,,,,,,,,,0,,,63,45
4224,note_on,192,0,1,,,,,,,,,0,,,72,0
4224,note_on,0,0,1,,,,,,,,,0,,,73,45
4224,note_on,0,0,2,,,,,,,,,0,,,66,45
4270,note_on,46,0,3,,,,,,,,,0,,,59,0
4272,note_on,2,0,3,,,,,,,,,0,,,57,45
4318,note_on,0,0,2,,,,,,,,,0,,,66,0
4318,note_on,94,0,2,,,,,,,,,0,,,63,0
