tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,note,velocity,channel
0,time_signature,3,2,48,8,0,1,0,,,,,
0,track_name,,,,,0,1,4,,,,,
0,note_on,,,,,0,0,1,,,69,96,0
0,track_name,,,,,0,1,1,,,,,
0,track_name,,,,,0,1,2,,,,,
0,set_tempo,,,,,0,1,0,,340909,,,
0,track_name,,,,,0,1,3,,,,,
0,key_signature,,,,,0,1,0,A,,,,
683,note_on,,,,,683,0,2,,,68,96,1
1365,note_off,,,,,682,0,2,,,68,0,1
1365,note_on,,,,,0,0,2,,,66,96,1
2048,note_on,,,,,0,0,1,,,69,96,0
2048,note_off,,,,,2048,0,1,,,69,0,0
2048,note_off,,,,,683,0,2,,,66,0,1
2048,note_on,,,,,0,0,2,,,64,96,1
2731,note_off,,,,,683,0,2,,,64,0,1
2731,note_on,,,,,0,0,2,,,66,96,1
3413,note_off,,,,,682,0,2,,,66,0,1
3413,note_on,,,,,0,0,2,,,62,96,1
4096,note_on,,,,,0,0,2,,,61,96,1
4096,note_off,,,,,2048,0,1,,,69,0,0
4096,note_off,,,,,683,0,2,,,62,0,1
4096,note_on,,,,,0,0,1,,,69,96,0
4779,note_on,,,,,0,0,2,,,62,96,1
4779,note_off,,,,,683,0,2,,,61,0,1
5461,note_on,,,,,0,0,2,,,59,96,1
5461,note_off,,,,,682,0,2,,,62,0,1
6144,note_on,,,,,6144,0,4,,,57,96,3
6144,note_off,,,,,2048,0,1,,,69,0,0
6144,note_off,,,,,683,0,2,,,59,0,1
6144,note_on,,,,,0,0,2,,,57,96,1
6144,note_on,,,,,0,0,1,,,73,96,0
6827,note_on,,,,,0,0,2,,,71,96,1
6827,note_off,,,,,683,0,2,,,57,0,1
6827,note_on,,,,,6827,0,3,,,56,96,2
7509,note_off,,,,,682,0,3,,,56,0,2
7509,note_on,,,,,0,0,2,,,69,96,1
7509,note_off,,,,,682,0,2,,,71,0,1
7509,note_on,,,,,0,0,3,,,54,96,2
8192,note_on,,,,,0,0,4,,,57,96,3
8192,note_off,,,,,2048,0,4,,,57,0,3
8192,note_on,,,,,0,0,3,,,52,96,2
8192,note_on,,,,,0,0,2,,,68,96,1
8192,note_off,,,,,683,0,2,,,69,0,1
8192,note_off,,,,,683,0,3,,,54,0,2
8875,note_off,,,,,683,0,3,,,52,0,2
8875,note_on,,,,,0,0,2,,,69,96,1
8875,note_off,,,,,683,0,2,,,68,0,1
8875,note_on,,,,,0,0,3,,,54,96,2
9557,note_off,,,,,682,0,2,,,69,0,1
9557,note_off,,,,,682,0,3,,,54,0,2
9557,note_on,,,,,0,0,2,,,66,96,1
9557,note_on,,,,,0,0,3,,,50,96,2
10240,note_off,,,,,2048,0,4,,,57,0,3
10240,note_on,,,,,0,0,4,,,57,96,3
10240,note_on,,,,,0,0,2,,,64,96,1
10240,note_off,,,,,4096,0,1,,,73,0,0
10240,note_on,,,,,0,0,1,,,74,96,0
10240,note_off,,,,,683,0,3,,,50,0,2
10240,note_on,,,,,0,0,3,,,49,96,2
10240,note_off,,,,,683,0,2,,,66,0,1
10923,note_off,,,,,683,0,3,,,49,0,2
10923,note_on,,,,,0,0,3,,,50,96,2
10923,note_on,,,,,0,0,2,,,66,96,1
10923,note_off,,,,,683,0,2,,,64,0,1
11605,note_on,,,,,0,0,3,,,47,96,2
11605,note_on,,,,,0,0,2,,,62,96,1
11605,note_off,,,,,682,0,2,,,66,0,1
11605,note_off,,,,,682,0,3,,,50,0,2
12288,note_off,,,,,683,0,3,,,47,0,2
12288,note_on,,,,,0,0,3,,,45,96,2
12288,note_on,,,,,0,0,4,,,61,96,3
12288,note_off,,,,,2048,0,4,,,57,0,3
12288,note_off,,,,,2048,0,1,,,74,0,0
12288,note_on,,,,,0,0,1,,,76,96,0
12288,note_on,,,,,0,0,2,,,69,96,1
12288,note_off,,,,,683,0,2,,,62,0,1
12971,note_off,,,,,683,0,3,,,45,0,2
12971,note_on,,,,,0,0,3,,,59,96,2
13312,note_on,,,,,0,0,2,,,69,96,1
13312,note_off,,,,,1024,0,2,,,69,0,1
13653,note_on,,,,,0,0,3,,,57,96,2
13653,note_off,,,,,682,0,3,,,59,0,2
14336,note_off,,,,,1024,0,2,,,69,0,1
