tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,note,velocity,channel
0,time_signature,4,4,24,8,0,1,0,,,,,
0,track_name,,,,,0,1,6,,,,,
0,track_name,,,,,0,1,5,,,,,
0,track_name,,,,,0,1,8,,,,,
0,track_name,,,,,0,1,4,,,,,
0,track_name,,,,,0,1,3,,,,,
0,track_name,,,,,0,1,2,,,,,
0,track_name,,,,,0,1,7,,,,,
0,track_name,,,,,0,1,1,,,,,
0,key_signature,,,,,0,1,0,F,,,,
0,set_tempo,,,,,0,1,0,,750000,,,
3072,note_on,,,,,3072,0,2,,,64,96,1
3072,note_on,,,,,3072,0,4,,,45,96,3
3072,note_on,,,,,3072,0,3,,,61,96,2
3072,note_on,,,,,3072,0,6,,,69,96,5
3072,note_on,,,,,3072,0,5,,,45,96,4
3072,note_on,,,,,3072,0,1,,,69,96,0
3584,note_on,,,,,0,0,5,,,45,96,4
3584,note_off,,,,,512,0,5,,,45,0,4
3584,note_off,,,,,512,0,2,,,64,0,1
3584,note_on,,,,,0,0,2,,,65,96,1
3840,note_on,,,,,0,0,2,,,67,96,1
3840,note_off,,,,,256,0,2,,,65,0,1
4096,note_on,,,,,0,0,5,,,50,96,4
4096,note_off,,,,,512,0,5,,,45,0,4
4096,note_off,,,,,1024,0,6,,,69,0,5
4096,note_on,,,,,0,0,6,,,69,96,5
4096,note_off,,,,,1024,0,1,,,69,0,0
4096,note_on,,,,,0,0,2,,,65,96,1
4096,note_off,,,,,256,0,2,,,67,0,1
4096,note_off,,,,,1024,0,3,,,61,0,2
4096,note_on,,,,,0,0,3,,,62,96,2
4096,note_on,,,,,0,0,4,,,50,96,3
4096,note_on,,,,,0,0,1,,,69,96,0
4096,note_off,,,,,1024,0,4,,,45,0,3
4608,note_on,,,,,0,0,5,,,48,96,4
4608,note_off,,,,,512,0,5,,,50,0,4
4608,note_on,,,,,0,0,4,,,48,96,3
4608,note_off,,,,,512,0,4,,,50,0,3
5120,note_on,,,,,0,0,2,,,65,96,1
5120,note_off,,,,,1024,0,3,,,62,0,2
5120,note_on,,,,,0,0,3,,,62,96,2
