tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,note,velocity
0,set_tempo,444440,0,1,0,,,,,,,,
0,time_signature,,0,1,0,3,2,24,8,,,,
0,track_name,,0,1,3,,,,,,,,
0,track_name,,0,1,2,,,,,,,,
0,track_name,,0,1,1,,,,,,,,
0,program_change,,0,0,1,,,,,19,0,,
192,note_on,,192,0,1,,,,,,0,79,92
384,note_on,,0,0,1,,,,,,0,78,92
384,note_off,,192,0,1,,,,,,0,79,0
576,note_on,,0,0,1,,,,,,0,79,92
576,note_off,,192,0,1,,,,,,0,78,0
768,note_off,,192,0,1,,,,,,0,79,0
768,note_on,,0,0,1,,,,,,0,74,92
1536,note_off,,768,0,1,,,,,,0,74,0
1728,note_on,,192,0,1,,,,,,0,79,92
1920,note_on,,0,0,1,,,,,,0,78,92
1920,note_off,,192,0,1,,,,,,0,79,0
2112,note_off,,192,0,1,,,,,,0,78,0
2112,note_on,,0,0,1,,,,,,0,79,92
2304,note_on,,0,0,1,,,,,,0,71,92
2304,note_off,,192,0,1,,,,,,0,79,0
3072,note_off,,768,0,1,,,,,,0,71,0
3264,note_on,,192,0,1,,,,,,0,79,92
3456,note_on,,0,0,1,,,,,,0,78,92
3456,note_off,,192,0,1,,,,,,0,79,0
3648,note_off,,192,0,1,,,,,,0,78,0
3648,note_on,,0,0,1,,,,,,0,76,92
3840,note_on,,0,0,1,,,,,,0,74,92
3840,note_off,,192,0,1,,,,,,0,76,0
4032,note_on,,0,0,1,,,,,,0,72,92
4032,note_off,,192,0,1,,,,,,0,74,0
4224,note_off,,192,0,1,,,,,,0,72,0
4224,note_on,,0,0,1,,,,,,0,71,92
4416,note_off,,192,0,1,,,,,,0,71,0
4416,note_on,,0,0,1,,,,,,0,69,92
4608,note_off,,192,0,1,,,,,,0,69,0
4608,note_on,,0,0,1,,,,,,0,71,92
4800,note_on,,192,0,1,,,,,,0,67,92
4992,note_on,,0,0,1,,,,,,0,66,92
4992,note_off,,192,0,1,,,,,,0,67,0
5184,note_off,,192,0,1,,,,,,0,66,0
5184,note_on,,0,0,1,,,,,,0,67,92
5376,note_off,,192,0,1,,,,,,0,67,0
5376,note_on,,0,0,1,,,,,,0,62,92
5376,note_off,,0,0,1,,,,,,0,71,0
5568,note_on,,5568,0,2,,,,,,0,55,92
5760,note_off,,192,0,2,,,,,,0,55,0
5760,note_on,,0,0,2,,,,,,0,54,92
5952,note_on,,0,0,2,,,,,,0,55,92
5952,note_off,,192,0,2,,,,,,0,54,0
6144,note_on,,0,0,2,,,,,,0,50,92
6144,note_off,,192,0,2,,,,,,0,55,0
6144,note_off,,768,0,1,,,,,,0,62,0
6336,note_on,,192,0,1,,,,,,0,71,92
6336,note_on,,0,0,1,,,,,,0,62,92
6528,note_off,,0,0,1,,,,,,0,71,0
6528,note_on,,0,0,1,,,,,,0,69,92
6528,note_on,,0,0,1,,,,,,0,60,92
6528,note_off,,192,0,1,,,,,,0,62,0
6720,note_off,,192,0,1,,,,,,0,60,0
6720,note_off,,0,0,1,,,,,,0,69,0
6720,note_on,,0,0,1,,,,,,0,71,92
6720,note_on,,0,0,1,,,,,,0,62,92
6912,note_on,,0,0,1,,,,,,0,67,92
