,note,step,duration,channel,velocity
0,48.0,0,1020,3.0,0.0
1,72.0,0,1020,0.0,0.0
2,64.0,1024,1020,2.0,0.0
3,67.0,0,1020,1.0,0.0
4,72.0,0,1020,0.0,0.0
5,60.0,1024,1020,3.0,0.0
6,64.0,0,1020,2.0,0.0
7,67.0,0,15,1.0,0.0
8,59.0,0,1020,3.0,0.0
9,79.0,0,1020,0.0,0.0
10,62.0,0,1020,2.0,0.0
11,76.0,0,1530,0.0,0.0
12,60.0,512,1530,2.0,0.0
13,60.0,0,1530,3.0,0.0
14,67.0,1536,15,1.0,0.0
15,74.0,0,510,0.0,0.0
16,67.0,0,15,1.0,0.0
17,59.0,1024,510,3.0,0.0
18,55.0,0,510,2.0,0.0
19,72.0,1024,1020,0.0,0.0
20,57.0,0,1020,3.0,0.0
21,60.0,0,1020,2.0,0.0
22,66.0,0,1020,1.0,0.0
23,62.0,0,1020,1.0,0.0
24,67.0,512,1020,2.0,0.0
25,55.0,0,1020,3.0,0.0
26,71.0,512,1530,0.0,0.0
27,55.0,0,1020,2.0,0.0
28,43.0,0,1020,3.0,0.0
29,67.0,0,1020,1.0,0.0
30,69.0,1024,510,0.0,0.0
31,67.0,1024,1020,0.0,0.0
32,62.0,0,1020,2.0,0.0
33,53.0,0,1020,3.0,0.0
34,52.0,1024,1020,3.0,0.0
35,72.0,0,1020,0.0,0.0
36,67.0,0,15,1.0,0.0
37,60.0,0,1020,2.0,0.0
38,53.0,0,1020,2.0,0.0
39,71.0,0,1020,1.0,0.0
40,74.0,512,1020,0.0,0.0
41,50.0,0,1020,3.0,0.0
42,60.0,1024,1020,2.0,0.0
43,48.0,0,1020,3.0,0.0
44,76.0,512,510,0.0,0.0
45,77.0,0,510,0.0,0.0
46,67.0,0,15,1.0,0.0
47,74.0,0,2040,0.0,0.0
48,62.0,0,1020,2.0,0.0
49,55.0,0,1020,3.0,0.0
50,43.0,0,1020,3.0,0.0
51,59.0,1024,1020,2.0,0.0
52,65.0,0,1020,1.0,0.0
53,64.0,1024,1020,1.0,0.0
54,72.0,0,1020,0.0,0.0
55,36.0,0,1020,3.0,0.0
56,55.0,0,1020,2.0,0.0
57,64.0,0,1020,2.0,0.0
58,48.0,0,15,3.0,0.0
59,72.0,0,1020,0.0,0.0
60,64.0,0,1020,2.0,0.0
61,60.0,0,1020,3.0,0.0
62,67.0,1024,15,1.0,0.0
63,72.0,0,1020,0.0,0.0
64,62.0,0,1020,2.0,0.0
65,79.0,1536,1020,0.0,0.0
66,67.0,1024,15,1.0,0.0
67,59.0,0,1020,3.0,0.0
68,67.0,0,15,1.0,0.0
69,60.0,0,1530,3.0,0.0
70,60.0,0,1530,2.0,0.0
71,76.0,512,1530,0.0,0.0
72,67.0,0,15,1.0,0.0
73,55.0,0,510,2.0,0.0
74,59.0,0,510,3.0,0.0
75,74.0,0,510,0.0,0.0
76,57.0,0,1020,3.0,0.0
77,60.0,1024,1020,2.0,0.0
78,66.0,0,1020,1.0,0.0
79,72.0,0,1020,0.0,0.0
80,62.0,512,1020,1.0,0.0
81,67.0,0,1020,2.0,0.0
82,71.0,512,1530,0.0,0.0
83,55.0,0,1020,3.0,0.0
84,43.0,0,1020,3.0,0.0
85,55.0,0,1020,2.0,0.0
86,69.0,0,510,0.0,0.0
87,62.0,0,1020,2.0,0.0
88,53.0,1024,1020,3.0,0.0
89,67.0,0,1020,0.0,0.0
90,67.0,1024,15,1.0,0.0
91,60.0,1024,1020,2.0,0.0
92,52.0,0,1020,3.0,0.0
93,67.0,0,1020,1.0,0.0
94,72.0,0,1020,0.0,0.0
95,74.0,0,1020,0.0,0.0
96,53.0,0,1020,2.0,0.0
97,50.0,0,1020,3.0,0.0
98,71.0,512,1020,1.0,0.0
99,60.0,1024,1020,2.0,0.0
100,48.0,0,1020,3.0,0.0
101,76.0,512,510,0.0,0.0
102,77.0,0,510,0.0,0.0
103,74.0,0,2040,0.0,0.0
104,67.0,0,15,1.0,0.0
105,62.0,1024,1020,2.0,0.0
106,55.0,0,1020,3.0,0.0
107,59.0,0,1020,2.0,0.0
108,43.0,0,1020,3.0,0.0
109,65.0,1024,1020,1.0,0.0
110,55.0,0,1020,2.0,0.0
111,72.0,0,1020,0.0,0.0
112,48.0,1024,1020,3.0,0.0
113,36.0,0,1020,3.0,0.0
114,64.0,0,1020,1.0,0.0
115,76.0,0,1530,0.0,0.0
116,67.0,0,1530,1.0,0.0
117,48.0,512,1020,3.0,0.0
118,52.0,0,1020,3.0,0.0
119,64.0,512,15,2.0,0.0
120,67.0,512,510,1.0,0.0
121,74.0,0,510,0.0,0.0
122,57.0,0,1020,3.0,0.0
123,64.0,0,15,2.0,0.0
124,60.0,0,1020,1.0,0.0
125,76.0,3072,1020,0.0,0.0
126,61.0,0,510,2.0,0.0
127,62.0,0,3060,2.0,0.0
128,77.0,1024,3060,0.0,0.0
129,50.0,0,3060,3.0,0.0
130,69.0,0,15,1.0,0.0
131,57.0,512,1020,3.0,0.0
132,64.0,0,1530,2.0,0.0
133,76.0,0,1530,0.0,0.0
134,55.0,0,1020,3.0,0.0
135,60.0,512,510,2.0,0.0
136,69.0,512,15,1.0,0.0
137,77.0,0,510,0.0,0.0
138,53.0,0,1020,3.0,0.0
139,62.0,1024,1020,1.0,0.0
140,59.0,512,510,2.0,0.0
141,57.0,0,510,2.0,0.0
142,55.0,512,1020,2.0,0.0
143,79.0,0,15,0.0,0.0
144,52.0,0,1530,3.0,0.0
145,60.0,0,1020,1.0,0.0
146,59.0,0,1020,2.0,0.0
147,77.0,0,510,0.0,0.0
148,50.0,1024,510,3.0,0.0
149,67.0,0,15,1.0,0.0
150,48.0,3072,1020,3.0,0.0
151,60.0,0,1020,2.0,0.0
152,76.0,0,1020,0.0,0.0
153,74.0,0,3060,0.0,0.0
154,67.0,1024,3060,1.0,0.0
155,43.0,0,3060,3.0,0.0
156,67.0,0,1020,0.0,0.0
157,59.0,0,15,2.0,0.0
158,55.0,0,1020,3.0,0.0
159,53.0,512,510,3.0,0.0
160,62.0,512,15,1.0,0.0
161,62.0,0,1020,2.0,0.0
162,69.0,512,1020,0.0,0.0
163,52.0,0,510,3.0,0.0
164,53.0,512,510,3.0,0.0
165,62.0,0,15,1.0,0.0
166,55.0,0,1020,2.0,0.0
167,71.0,0,1020,0.0,0.0
168,50.0,1024,510,3.0,0.0
169,72.0,0,1020,0.0,0.0
170,55.0,0,1020,2.0,0.0
171,52.0,1024,1020,3.0,0.0
172,67.0,0,1020,1.0,0.0
173,74.0,0,1020,0.0,0.0
174,47.0,0,1020,3.0,0.0
175,48.0,1024,1020,3.0,0.0
176,76.0,256,780,0.0,0.0
177,67.0,512,15,1.0,0.0
178,55.0,0,15,2.0,0.0
179,60.0,0,510,2.0,0.0
180,77.0,0,270,0.0,0.0
181,60.0,0,1020,2.0,0.0
182,67.0,0,15,1.0,0.0
183,74.0,4096,2040,0.0,0.0
184,55.0,1024,1020,3.0,0.0
185,59.0,0,1020,2.0,0.0
186,43.0,0,1020,3.0,0.0
187,55.0,0,4110,2.0,0.0
188,48.0,0,4110,3.0,0.0
189,64.0,0,4110,1.0,0.0
190,72.0,0,4110,0.0,0.0
