tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity
0,track_name,0,1,0,,,,,,,,,,
0,program_change,0,0,1,,,,,,,0,0,,
0,end_of_track,0,1,0,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,
0,set_tempo,0,1,0,,,,,,500000,,,,
360,note_on,360,0,1,,,,,,,,0,77,64
414,note_on,54,0,1,,,,,,,,0,77,0
480,note_on,480,0,2,,,,,,,,0,58,64
480,note_on,66,0,1,,,,,,,,0,74,64
576,note_on,96,0,1,,,,,,,,0,74,0
588,note_on,108,0,2,,,,,,,,0,58,0
600,note_on,24,0,1,,,,,,,,0,70,64
654,note_on,54,0,1,,,,,,,,0,70,0
720,note_on,66,0,1,,,,,,,,0,69,64
720,note_on,132,0,2,,,,,,,,0,60,64
816,note_on,96,0,1,,,,,,,,0,69,0
828,note_on,108,0,2,,,,,,,,0,60,0
840,note_on,24,0,1,,,,,,,,0,72,64
894,note_on,54,0,1,,,,,,,,0,72,0
960,note_on,132,0,2,,,,,,,,0,62,64
960,note_on,66,0,1,,,,,,,,0,70,64
1056,note_on,96,0,1,,,,,,,,0,70,0
1068,note_on,108,0,2,,,,,,,,0,62,0
1080,note_on,24,0,1,,,,,,,,0,65,64
1134,note_on,54,0,1,,,,,,,,0,65,0
1320,note_on,186,0,1,,,,,,,,0,65,64
1320,note_on,252,0,2,,,,,,,,0,62,64
1374,note_on,54,0,1,,,,,,,,0,65,0
1374,note_on,54,0,2,,,,,,,,0,62,0
1440,note_on,66,0,1,,,,,,,,0,67,64
1440,note_on,66,0,2,,,,,,,,0,63,64
1494,note_on,54,0,2,,,,,,,,0,63,0
1494,note_on,54,0,1,,,,,,,,0,67,0
1560,note_on,66,0,2,,,,,,,,0,63,64
1560,note_on,66,0,1,,,,,,,,0,67,64
1614,note_on,54,0,1,,,,,,,,0,67,0
1614,note_on,54,0,2,,,,,,,,0,63,0
1680,note_on,66,0,2,,,,,,,,0,60,64
1680,note_on,66,0,1,,,,,,,,0,69,64
1734,note_on,54,0,1,,,,,,,,0,69,0
1734,note_on,54,0,2,,,,,,,,0,60,0
1800,note_on,66,0,1,,,,,,,,0,69,64
1800,note_on,66,0,2,,,,,,,,0,60,64
1854,note_on,54,0,2,,,,,,,,0,60,0
1854,note_on,54,0,1,,,,,,,,0,69,0
1920,note_on,0,0,2,,,,,,,,0,62,64
1920,note_on,66,0,2,,,,,,,,0,58,64
1920,note_on,66,0,1,,,,,,,,0,70,64
2112,note_on,0,0,2,,,,,,,,0,58,0
2112,note_on,192,0,2,,,,,,,,0,62,0
2112,note_on,192,0,1,,,,,,,,0,70,0
2280,note_on,168,0,1,,,,,,,,0,65,64
2280,note_on,168,0,2,,,,,,,,0,62,64
2334,note_on,54,0,1,,,,,,,,0,65,0
2334,note_on,54,0,2,,,,,,,,0,62,0
2400,note_on,66,0,2,,,,,,,,0,63,64
2400,note_on,66,0,1,,,,,,,,0,67,64
2454,note_on,54,0,2,,,,,,,,0,63,0
2454,note_on,54,0,1,,,,,,,,0,67,0
2520,note_on,66,0,1,,,,,,,,0,67,64
