tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,,1,,57,100
0,program_change,0,0,2,,,,,,,,,1,0,,
0,control_change,0,0,2,,,,,,,10,92,1,,,
0,control_change,0,0,2,,,,,,,7,100,1,,,
0,control_change,0,0,2,,,,,,,32,0,1,,,
0,control_change,0,0,2,,,,,,,0,0,1,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,72,100
0,program_change,0,0,1,,,,,,,,,0,0,,
0,control_change,0,0,1,,,,,,,10,36,0,,,
0,control_change,0,0,1,,,,,,,7,105,0,,,
0,end_of_track,0,1,3,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,0,0,0,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,32,0,0,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,set_tempo,0,1,0,,,,,,631579,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
59,note_on,59,0,1,,,,,,,,,0,,72,0
60,note_on,1,0,1,,,,,,,,,0,,76,100
119,note_on,59,0,1,,,,,,,,,0,,76,0
120,note_on,120,0,2,,,,,,,,,1,,57,0
120,note_on,0,0,2,,,,,,,,,1,,59,100
120,note_on,1,0,1,,,,,,,,,0,,68,100
179,note_on,59,0,1,,,,,,,,,0,,68,0
180,note_on,1,0,1,,,,,,,,,0,,71,100
239,note_on,59,0,1,,,,,,,,,0,,71,0
240,note_on,0,0,2,,,,,,,,,1,,60,100
240,note_on,120,0,2,,,,,,,,,1,,59,0
240,note_on,1,0,1,,,,,,,,,0,,69,100
359,note_on,119,0,2,,,,,,,,,1,,60,0
359,note_on,119,0,1,,,,,,,,,0,,69,0
360,polytouch,1,0,1,,,,,,,,0,0,,69,
360,note_on,1,0,2,,,,,,,,,1,,62,100
400,note_on,40,0,1,,,,,,,,,0,,77,100
439,note_on,39,0,1,,,,,,,,,0,,77,0
440,note_on,1,0,1,,,,,,,,,0,,79,100
479,note_on,39,0,1,,,,,,,,,0,,79,0
480,note_on,1,0,1,,,,,,,,,0,,81,100
519,note_on,39,0,1,,,,,,,,,0,,81,0
520,note_on,1,0,1,,,,,,,,,0,,79,100
559,note_on,39,0,1,,,,,,,,,0,,79,0
560,note_on,1,0,1,,,,,,,,,0,,77,100
599,note_on,239,0,2,,,,,,,,,1,,62,0
599,note_on,39,0,1,,,,,,,,,0,,77,0
600,note_on,1,0,2,,,,,,,,,1,,60,100
600,note_on,1,0,1,,,,,,,,,0,,76,100
719,note_on,119,0,2,,,,,,,,,1,,60,0
719,note_on,119,0,1,,,,,,,,,0,,76,0
720,note_on,1,0,2,,,,,,,,,1,,57,100
720,note_on,1,0,1,,,,,,,,,0,,72,100
779,note_on,59,0,1,,,,,,,,,0,,72,0
780,note_on,1,0,1,,,,,,,,,0,,76,100
839,note_on,59,0,1,,,,,,,,,0,,76,0
840,note_on,1,0,1,,,,,,,,,0,,68,100
840,note_on,0,0,2,,,,,,,,,1,,59,100
840,note_on,120,0,2,,,,,,,,,1,,57,0
899,note_on,59,0,1,,,,,,,,,0,,68,0
900,note_on,1,0,1,,,,,,,,,0,,71,100
959,note_on,59,0,1,,,,,,,,,0,,71,0
960,note_on,1,0,1,,,,,,,,,0,,69,100
960,note_on,0,0,2,,,,,,,,,1,,60,100
960,note_on,120,0,2,,,,,,,,,1,,59,0
1079,note_on,119,0,2,,,,,,,,,1,,60,0
1079,note_on,119,0,1,,,,,,,,,0,,69,0
1080,polytouch,1,0,1,,,,,,,,0,0,,69,
1080,note_on,1,0,2,,,,,,,,,1,,56,100
1120,note_on,40,0,1,,,,,,,,,0,,74,100
1159,note_on,39,0,1,,,,,,,,,0,,74,0
1160,note_on,1,0,1,,,,,,,,,0,,76,100
1199,note_on,39,0,1,,,,,,,,,0,,76,0
1200,note_on,1,0,1,,,,,,,,,0,,77,100
1239,note_on,39,0,1,,,,,,,,,0,,77,0
1240,note_on,1,0,1,,,,,,,,,0,,76,100
1279,note_on,39,0,1,,,,,,,,,0,,76,0
1280,note_on,1,0,1,,,,,,,,,0,,74,100
1319,note_on,239,0,2,,,,,,,,,1,,56,0
1319,note_on,39,0,1,,,,,,,,,0,,74,0
1320,note_on,1,0,1,,,,,,,,,0,,72,100
1320,note_on,1,0,2,,,,,,,,,1,,57,100
1439,note_on,119,0,1,,,,,,,,,0,,72,0
1439,note_on,119,0,2,,,,,,,,,1,,57,0
1440,note_on,1,0,2,,,,,,,,,1,,57,100
1440,note_on,1,0,1,,,,,,,,,0,,72,100
1500,note_on,0,0,1,,,,,,,,,0,,84,100
1500,note_on,60,0,1,,,,,,,,,0,,72,0
1559,note_on,59,0,1,,,,,,,,,0,,84,0
1560,note_on,120,0,2,,,,,,,,,1,,57,0
1560,note_on,0,0,2,,,,,,,,,1,,55,100
1560,note_on,1,0,1,,,,,,,,,0,,84,100
1620,note_on,0,0,1,,,,,,,,,0,,82,100
1620,note_on,60,0,1,,,,,,,,,0,,84,0
1679,note_on,59,0,1,,,,,,,,,0,,82,0
1680,note_on,120,0,2,,,,,,,,,1,,55,0
1680,note_on,0,0,2,,,,,,,,,1,,53,100
1680,note_on,1,0,1,,,,,,,,,0,,82,100
1740,note_on,0,0,1,,,,,,,,,0,,81,100
1740,note_on,60,0,1,,,,,,,,,0,,82,0
1799,note_on,119,0,2,,,,,,,,,1,,53,0
1799,note_on,59,0,1,,,,,,,,,0,,81,0
1800,note_on,1,0,2,,,,,,,,,1,,57,100
1800,note_on,1,0,1,,,,,,,,,0,,81,100
1860,note_on,0,0,1,,,,,,,,,0,,77,100
1860,note_on,60,0,1,,,,,,,,,0,,81,0
1919,note_on,59,0,1,,,,,,,,,0,,77,0
1920,note_on,1,0,1,,,,,,,,,0,,79,100
1920,note_on,0,0,2,,,,,,,,,1,,58,100
1920,note_on,120,0,2,,,,,,,,,1,,57,0
1980,note_on,60,0,1,,,,,,,,,0,,79,0
1980,note_on,0,0,1,,,,,,,,,0,,76,100
