tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,10,64,,
0,note_on,0,0,2,,,,,,,,,1,,,45,92
0,note_on,0,0,1,,,,,,,,,0,,,64,92
0,control_change,0,0,1,,,,,,,,,0,10,64,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,set_tempo,0,1,0,461538,,,,,,,,,,,,
0,key_signature,0,1,0,,A,,,,,,,,,,,
0,time_signature,0,1,0,,,4,4,24,8,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
24,note_on,24,0,1,,,,,,,,,0,,,64,0
24,note_on,0,0,1,,,,,,,,,0,,,69,92
48,note_on,0,0,1,,,,,,,,,0,,,73,92
48,note_on,24,0,1,,,,,,,,,0,,,69,0
72,note_on,24,0,1,,,,,,,,,0,,,73,0
72,note_on,0,0,1,,,,,,,,,0,,,76,92
96,note_on,96,0,2,,,,,,,,,1,,,45,0
96,note_on,0,0,2,,,,,,,,,1,,,57,92
192,note_on,96,0,2,,,,,,,,,1,,,57,0
192,note_on,0,0,2,,,,,,,,,1,,,61,92
288,note_on,96,0,2,,,,,,,,,1,,,61,0
288,note_on,0,0,2,,,,,,,,,1,,,57,92
352,note_on,280,0,1,,,,,,,,,0,,,76,0
384,note_on,96,0,2,,,,,,,,,1,,,57,0
384,note_on,0,0,2,,,,,,,,,1,,,64,92
384,note_on,32,0,1,,,,,,,,,0,,,73,92
480,note_on,0,0,2,,,,,,,,,1,,,57,92
480,note_on,96,0,2,,,,,,,,,1,,,64,0
576,note_on,96,0,2,,,,,,,,,1,,,57,0
576,note_on,0,0,2,,,,,,,,,1,,,67,92
672,note_on,0,0,2,,,,,,,,,1,,,57,92
672,note_on,96,0,2,,,,,,,,,1,,,67,0
720,note_on,336,0,1,,,,,,,,,0,,,73,0
766,note_on,94,0,2,,,,,,,,,1,,,57,0
768,note_on,48,0,1,,,,,,,,,0,,,76,92
768,note_on,2,0,2,,,,,,,,,1,,,66,92
864,note_on,96,0,1,,,,,,,,,0,,,76,0
864,note_on,0,0,2,,,,,,,,,1,,,57,92
864,note_on,0,0,1,,,,,,,,,0,,,74,92
864,note_on,96,0,2,,,,,,,,,1,,,66,0
958,note_on,94,0,1,,,,,,,,,0,,,74,0
960,note_on,0,0,2,,,,,,,,,1,,,62,92
960,note_on,96,0,2,,,,,,,,,1,,,57,0
960,note_on,2,0,1,,,,,,,,,0,,,71,92
992,note_on,32,0,1,,,,,,,,,0,,,71,0
1056,note_on,96,0,2,,,,,,,,,1,,,62,0
1056,note_on,0,0,2,,,,,,,,,1,,,57,92
1056,note_on,64,0,1,,,,,,,,,0,,,68,92
1088,note_on,32,0,1,,,,,,,,,0,,,68,0
1152,note_on,64,0,1,,,,,,,,,0,,,69,92
1152,note_on,96,0,2,,,,,,,,,1,,,61,92
1312,note_on,160,0,2,,,,,,,,,1,,,57,0
1312,note_on,160,0,1,,,,,,,,,0,,,69,0
1312,note_on,0,0,2,,,,,,,,,1,,,61,0
1440,note_on,128,0,1,,,,,,,,,0,,,64,92
1440,note_on,128,0,2,,,,,,,,,1,,,61,92
1536,note_on,0,0,2,,,,,,,,,1,,,62,92
1536,note_on,96,0,2,,,,,,,,,1,,,61,0
1536,note_on,96,0,1,,,,,,,,,0,,,64,0
1536,note_on,0,0,1,,,,,,,,,0,,,66,92
1568,note_on,32,0,2,,,,,,,,,1,,,62,0
1568,note_on,32,0,1,,,,,,,,,0,,,66,0
1632,note_on,64,0,2,,,,,,,,,1,,,64,92
1632,note_on,64,0,1,,,,,,,,,0,,,68,92
1664,note_on,32,0,1,,,,,,,,,0,,,68,0
1664,note_on,32,0,2,,,,,,,,,1,,,64,0
1728,note_on,64,0,1,,,,,,,,,0,,,69,92
1728,note_on,64,0,2,,,,,,,,,1,,,66,92
1760,note_on,32,0,2,,,,,,,,,1,,,66,0
1760,note_on,32,0,1,,,,,,,,,0,,,69,0
1824,note_on,64,0,1,,,,,,,,,0,,,71,92
1824,note_on,64,0,2,,,,,,,,,1,,,68,92
1856,note_on,32,0,2,,,,,,,,,1,,,68,0
1856,note_on,32,0,1,,,,,,,,,0,,,71,0
1920,note_on,64,0,2,,,,,,,,,1,,,69,92
1920,note_on,64,0,1,,,,,,,,,0,,,73,92
1952,note_on,32,0,1,,,,,,,,,0,,,73,0
1952,note_on,32,0,2,,,,,,,,,1,,,69,0
2016,note_on,64,0,1,,,,,,,,,0,,,74,92
2016,note_on,64,0,2,,,,,,,,,1,,,71,92
2048,note_on,32,0,1,,,,,,,,,0,,,74,0
2048,note_on,32,0,2,,,,,,,,,1,,,71,0
2112,note_on,64,0,1,,,,,,,,,0,,,76,92
2112,note_on,64,0,2,,,,,,,,,1,,,73,92
2144,note_on,32,0,1,,,,,,,,,0,,,76,0
2144,note_on,32,0,2,,,,,,,,,1,,,73,0
2208,note_on,0,0,1,,,,,,,,,0,,,78,92
2208,note_on,64,0,1,,,,,,,,,0,,,74,92
2304,note_on,96,0,1,,,,,,,,,0,,,74,0
