tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,1,,,57,45
0,note_on,0,0,2,,,,,,,,1,,,53,45
0,control_change,0,0,2,,,,,,,,1,93,84,,
0,control_change,0,0,2,,,,,,,,1,91,84,,
0,control_change,0,0,2,,,,,,,,1,10,9,,
0,control_change,0,0,2,,,,,,,,1,10,44,,
0,control_change,0,0,2,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,1,7,127,,
0,program_change,0,0,2,,,,,,,0,1,,,,
0,program_change,0,0,2,,,,,,,0,1,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,0,,,72,60
0,control_change,0,0,1,,,,,,,,0,93,84,,
0,control_change,0,0,1,,,,,,,,0,91,84,,
0,end_of_track,0,1,3,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,10,83,,
0,track_name,0,1,1,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,363636,,,,,,
0,key_signature,0,1,0,,,,,F,,,,,,,
0,time_signature,0,1,0,6,8,12,8,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,0,0,,,,
0,control_change,0,0,1,,,,,,,,0,10,111,,
0,program_change,0,0,1,,,,,,,0,0,,,,
0,control_change,0,0,1,,,,,,,,0,7,127,,
0,control_change,0,0,1,,,,,,,,0,7,127,,
94,note_on,94,0,2,,,,,,,,1,,,57,0
96,note_on,2,0,2,,,,,,,,1,,,60,45
160,note_on,160,0,1,,,,,,,,0,,,72,0
190,note_on,94,0,2,,,,,,,,1,,,60,0
192,note_on,32,0,1,,,,,,,,0,,,72,60
192,note_on,2,0,2,,,,,,,,1,,,65,45
286,note_on,94,0,2,,,,,,,,1,,,65,0
288,note_on,2,0,2,,,,,,,,1,,,57,92
288,note_on,0,0,1,,,,,,,,0,,,77,92
288,note_on,96,0,1,,,,,,,,0,,,72,0
336,note_on,48,0,2,,,,,,,,1,,,53,0
382,note_on,46,0,2,,,,,,,,1,,,57,0
384,note_on,2,0,2,,,,,,,,1,,,60,92
478,note_on,94,0,2,,,,,,,,1,,,60,0
480,note_on,2,0,2,,,,,,,,1,,,65,45
544,note_on,256,0,1,,,,,,,,0,,,77,0
574,note_on,94,0,2,,,,,,,,1,,,65,0
576,note_on,2,0,2,,,,,,,,1,,,53,45
576,note_on,0,0,2,,,,,,,,1,,,57,45
576,note_on,32,0,1,,,,,,,,0,,,72,60
670,note_on,94,0,2,,,,,,,,1,,,57,0
672,note_on,2,0,2,,,,,,,,1,,,60,45
736,note_on,160,0,1,,,,,,,,0,,,72,0
766,note_on,94,0,2,,,,,,,,1,,,60,0
768,note_on,2,0,2,,,,,,,,1,,,65,45
768,note_on,32,0,1,,,,,,,,0,,,72,60
862,note_on,94,0,2,,,,,,,,1,,,65,0
864,note_on,2,0,2,,,,,,,,1,,,57,92
864,note_on,0,0,1,,,,,,,,0,,,69,92
864,note_on,96,0,1,,,,,,,,0,,,72,0
912,note_on,48,0,2,,,,,,,,1,,,53,0
958,note_on,46,0,2,,,,,,,,1,,,57,0
960,note_on,2,0,2,,,,,,,,1,,,60,92
1054,note_on,94,0,2,,,,,,,,1,,,60,0
1056,note_on,2,0,2,,,,,,,,1,,,65,45
1120,note_on,256,0,1,,,,,,,,0,,,69,0
1150,note_on,94,0,2,,,,,,,,1,,,65,0
1152,note_on,2,0,2,,,,,,,,1,,,53,45
1152,note_on,32,0,1,,,,,,,,0,,,65,60
1248,note_on,96,0,2,,,,,,,,1,,,53,0
1248,note_on,0,0,2,,,,,,,,1,,,60,45
1344,note_on,0,0,2,,,,,,,,1,,,57,45
1344,note_on,0,0,1,,,,,,,,0,,,65,60
1344,note_on,192,0,1,,,,,,,,0,,,65,0
1344,note_on,96,0,2,,,,,,,,1,,,60,0
1412,note_on,68,0,1,,,,,,,,0,,,65,0
1440,note_on,0,0,2,,,,,,,,1,,,48,45
1440,note_on,96,0,2,,,,,,,,1,,,57,0
