tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,2,,,,,1,10,64,,
0,control_change,,,,,0,0,2,,,,,1,7,110,,
0,program_change,,,,,0,0,2,,,,41,1,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,program_change,,,,,0,0,3,,,,42,2,,,,
0,control_change,,,,,0,0,3,,,,,2,7,100,,
0,control_change,,,,,0,0,3,,,,,2,10,64,,
0,midi_port,,,,,0,1,4,,,0,,,,,,
0,program_change,,,,,0,0,4,,,,43,3,,,,
0,control_change,,,,,0,0,4,,,,,3,7,100,,
0,control_change,,,,,0,0,4,,,,,3,10,64,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,control_change,,,,,0,0,1,,,,,0,7,120,,
0,program_change,,,,,0,0,1,,,,40,0,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,
0,control_change,,,,,0,0,1,,,,,0,10,64,,
0,set_tempo,,,,,0,1,0,,857142,,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,,
120,note_on,,,,,120,0,1,,,,,0,,,67,80
150,note_on,,,,,150,0,2,,,,,1,,,55,80
176,note_on,,,,,26,0,2,,,,,1,,,55,0
180,note_on,,,,,4,0,2,,,,,1,,,57,80
206,note_on,,,,,26,0,2,,,,,1,,,57,0
210,note_on,,,,,4,0,2,,,,,1,,,58,80
236,note_on,,,,,26,0,2,,,,,1,,,58,0
238,note_on,,,,,118,0,1,,,,,0,,,67,0
240,note_on,,,,,4,0,2,,,,,1,,,60,80
240,note_on,,,,,2,0,1,,,,,0,,,69,80
266,note_on,,,,,26,0,2,,,,,1,,,60,0
270,note_on,,,,,4,0,2,,,,,1,,,62,80
296,note_on,,,,,26,0,2,,,,,1,,,62,0
300,note_on,,,,,4,0,2,,,,,1,,,64,80
326,note_on,,,,,26,0,2,,,,,1,,,64,0
330,note_on,,,,,4,0,2,,,,,1,,,66,80
356,note_on,,,,,26,0,2,,,,,1,,,66,0
358,note_on,,,,,118,0,1,,,,,0,,,69,0
360,note_on,,,,,2,0,1,,,,,0,,,70,80
360,note_on,,,,,4,0,2,,,,,1,,,67,80
390,note_on,,,,,390,0,4,,,,,3,,,63,80
416,note_on,,,,,26,0,4,,,,,3,,,63,0
420,note_on,,,,,4,0,4,,,,,3,,,62,80
446,note_on,,,,,26,0,4,,,,,3,,,62,0
