tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,note,velocity,channel
0,time_signature,3,8,36,8,0,1,0,,,,
0,note_on,,,,,0,0,1,,62,64,0
0,text,,,,,0,1,1,,,,
0,text,,,,,0,1,2,,,,
0,set_tempo,,,,,0,1,0,606061,,,
0,end_of_track,,,,,0,1,0,,,,
60,note_off,,,,,60,0,1,,62,64,0
60,note_on,,,,,0,0,1,,64,64,0
120,note_off,,,,,60,0,1,,64,64,0
120,note_on,,,,,0,0,1,,65,64,0
180,note_off,,,,,60,0,1,,65,64,0
180,note_on,,,,,0,0,1,,67,64,0
240,note_off,,,,,60,0,1,,67,64,0
240,note_on,,,,,0,0,1,,69,64,0
300,note_on,,,,,0,0,1,,70,64,0
300,note_off,,,,,60,0,1,,69,64,0
360,note_off,,,,,60,0,1,,70,64,0
360,note_on,,,,,0,0,1,,61,64,0
420,note_off,,,,,60,0,1,,61,64,0
420,note_on,,,,,0,0,1,,70,64,0
480,note_off,,,,,60,0,1,,70,64,0
480,note_on,,,,,0,0,1,,69,64,0
540,note_off,,,,,60,0,1,,69,64,0
540,note_on,,,,,0,0,1,,67,64,0
600,note_off,,,,,60,0,1,,67,64,0
600,note_on,,,,,0,0,1,,65,64,0
660,note_off,,,,,60,0,1,,65,64,0
660,note_on,,,,,0,0,1,,64,64,0
720,note_on,,,,,720,0,2,,50,64,1
720,note_on,,,,,0,0,1,,65,64,0
720,note_off,,,,,60,0,1,,64,64,0
780,note_off,,,,,60,0,2,,50,64,1
780,note_on,,,,,0,0,2,,52,64,1
840,note_on,,,,,0,0,1,,69,64,0
840,note_off,,,,,60,0,2,,52,64,1
840,note_on,,,,,0,0,2,,53,64,1
840,note_off,,,,,120,0,1,,65,64,0
900,note_off,,,,,60,0,2,,53,64,1
900,note_on,,,,,0,0,2,,55,64,1
960,note_off,,,,,120,0,1,,69,64,0
960,note_on,,,,,0,0,1,,74,64,0
960,note_off,,,,,60,0,2,,55,64,1
960,note_on,,,,,0,0,2,,57,64,1
1020,note_off,,,,,60,0,2,,57,64,1
1020,note_on,,,,,0,0,2,,58,64,1
1080,note_on,,,,,0,0,2,,49,64,1
1080,note_on,,,,,0,0,1,,67,64,0
1080,note_off,,,,,120,0,1,,74,64,0
1080,note_off,,,,,60,0,2,,58,64,1
1140,note_off,,,,,60,0,2,,49,64,1
1140,note_on,,,,,0,0,2,,58,64,1
1200,note_off,,,,,60,0,2,,58,64,1
1200,note_on,,,,,0,0,2,,57,64,1
1200,note_on,,,,,0,0,1,,70,64,0
1200,note_off,,,,,120,0,1,,67,64,0
1260,note_off,,,,,60,0,2,,57,64,1
1260,note_on,,,,,0,0,2,,55,64,1
1320,note_off,,,,,60,0,2,,55,64,1
1320,note_on,,,,,0,0,2,,53,64,1
1320,note_off,,,,,120,0,1,,70,64,0
1320,note_on,,,,,0,0,1,,76,64,0
1380,note_off,,,,,60,0,2,,53,64,1
1380,note_on,,,,,0,0,2,,52,64,1
1440,note_off,,,,,60,0,2,,52,64,1
1440,note_off,,,,,120,0,1,,76,64,0
1440,note_on,,,,,0,0,2,,53,64,1
1440,note_on,,,,,0,0,1,,74,64,0
1500,note_off,,,,,60,0,1,,74,64,0
1500,note_on,,,,,0,0,1,,76,64,0
1560,note_on,,,,,0,0,2,,57,64,1
1560,note_off,,,,,60,0,1,,76,64,0
1560,note_on,,,,,0,0,1,,77,64,0
1560,note_off,,,,,120,0,2,,53,64,1
1620,note_off,,,,,60,0,1,,77,64,0
1620,note_on,,,,,0,0,1,,79,64,0
1680,note_off,,,,,60,0,1,,79,64,0
1680,note_on,,,,,0,0,2,,62,64,1
1680,note_off,,,,,120,0,2,,57,64,1
1680,note_on,,,,,0,0,1,,81,64,0
1740,note_off,,,,,60,0,1,,81,64,0
1740,note_on,,,,,0,0,1,,82,64,0
1800,note_off,,,,,60,0,1,,82,64,0
1800,note_on,,,,,0,0,1,,73,64,0
1800,note_on,,,,,0,0,2,,52,64,1
1800,note_off,,,,,120,0,2,,62,64,1
1860,note_off,,,,,60,0,1,,73,64,0
1860,note_on,,,,,0,0,1,,82,64,0
1920,note_off,,,,,60,0,1,,82,64,0
1920,note_on,,,,,0,0,1,,81,64,0
1920,note_off,,,,,120,0,2,,52,64,1
1920,note_on,,,,,0,0,2,,55,64,1
1980,note_off,,,,,60,0,1,,81,64,0
1980,note_on,,,,,0,0,1,,79,64,0
2040,note_off,,,,,60,0,1,,79,64,0
2040,note_on,,,,,0,0,1,,77,64,0
2040,note_on,,,,,0,0,2,,61,64,1
2040,note_off,,,,,120,0,2,,55,64,1
