tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity
0,track_name,0,1,0,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,0,53,64
0,note_on,0,0,1,,,,,,,,0,77,64
0,program_change,0,0,1,,,,,,,0,0,,
0,end_of_track,0,1,3,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,389610,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,
96,note_on,96,0,1,,,,,,,,0,77,0
120,note_on,24,0,1,,,,,,,,0,81,64
216,note_on,96,0,1,,,,,,,,0,81,0
240,note_on,24,0,1,,,,,,,,0,72,64
348,note_on,108,0,1,,,,,,,,0,72,0
384,note_on,384,0,2,,,,,,,,0,53,0
480,note_on,132,0,1,,,,,,,,0,72,64
480,note_on,96,0,2,,,,,,,,0,57,64
588,note_on,108,0,1,,,,,,,,0,72,0
588,note_on,108,0,2,,,,,,,,0,57,0
720,note_on,132,0,1,,,,,,,,0,74,64
720,note_on,132,0,2,,,,,,,,0,58,64
816,note_on,96,0,1,,,,,,,,0,74,0
840,note_on,24,0,1,,,,,,,,0,77,64
936,note_on,96,0,1,,,,,,,,0,77,0
960,note_on,24,0,1,,,,,,,,0,70,64
1068,note_on,108,0,1,,,,,,,,0,70,0
1104,note_on,384,0,2,,,,,,,,0,58,0
1200,note_on,132,0,1,,,,,,,,0,70,64
1200,note_on,96,0,2,,,,,,,,0,58,64
1308,note_on,108,0,1,,,,,,,,0,70,0
1308,note_on,108,0,2,,,,,,,,0,58,0
1440,note_on,132,0,1,,,,,,,,0,69,64
1440,note_on,132,0,2,,,,,,,,0,60,64
1536,note_on,96,0,1,,,,,,,,0,69,0
1560,note_on,24,0,1,,,,,,,,0,72,64
1656,note_on,96,0,1,,,,,,,,0,72,0
1680,note_on,24,0,1,,,,,,,,0,65,64
1788,note_on,108,0,1,,,,,,,,0,65,0
1824,note_on,384,0,2,,,,,,,,0,60,0
1920,note_on,96,0,2,,,,,,,,0,48,64
1920,note_on,132,0,1,,,,,,,,0,64,64
2028,note_on,108,0,2,,,,,,,,0,48,0
2028,note_on,108,0,1,,,,,,,,0,64,0
2160,note_on,132,0,2,,,,,,,,0,53,64
2160,note_on,132,0,1,,,,,,,,0,64,64
2268,note_on,108,0,2,,,,,,,,0,53,0
2400,note_on,132,0,2,,,,,,,,0,48,64
2508,note_on,108,0,2,,,,,,,,0,48,0
2544,note_on,384,0,1,,,,,,,,0,64,0
2640,note_on,132,0,2,,,,,,,,0,41,64
2640,note_on,96,0,1,,,,,,,,0,65,64
2748,note_on,108,0,2,,,,,,,,0,41,0
2748,note_on,108,0,1,,,,,,,,0,65,0
2880,note_on,132,0,1,,,,,,,,0,60,64
2880,note_on,132,0,2,,,,,,,,0,48,64
2976,note_on,96,0,1,,,,,,,,0,60,0
3000,note_on,24,0,1,,,,,,,,0,64,64
3096,note_on,96,0,1,,,,,,,,0,64,0
3120,note_on,24,0,1,,,,,,,,0,67,64
3228,note_on,108,0,1,,,,,,,,0,67,0
3360,note_on,132,0,1,,,,,,,,0,67,64
3456,note_on,576,0,2,,,,,,,,0,48,0
3468,note_on,108,0,1,,,,,,,,0,67,0
3600,note_on,144,0,2,,,,,,,,0,48,64
3600,note_on,132,0,1,,,,,,,,0,60,64
3696,note_on,96,0,1,,,,,,,,0,60,0
3720,note_on,24,0,1,,,,,,,,0,65,64
3816,note_on,96,0,1,,,,,,,,0,65,0
3840,note_on,24,0,1,,,,,,,,0,69,64
3948,note_on,108,0,1,,,,,,,,0,69,0
4080,note_on,132,0,1,,,,,,,,0,69,64
4176,note_on,576,0,2,,,,,,,,0,48,0
4188,note_on,108,0,1,,,,,,,,0,69,0
4320,note_on,132,0,1,,,,,,,,0,60,64
4320,note_on,144,0,2,,,,,,,,0,48,64
4356,note_on,36,0,1,,,,,,,,0,60,0
4400,note_on,44,0,1,,,,,,,,0,64,64
4436,note_on,36,0,1,,,,,,,,0,64,0
4480,note_on,44,0,1,,,,,,,,0,67,64
4512,note_on,192,0,2,,,,,,,,0,48,0
4516,note_on,36,0,1,,,,,,,,0,67,0
4560,note_on,48,0,2,,,,,,,,0,52,64
4560,note_on,44,0,1,,,,,,,,0,70,64
4668,note_on,108,0,1,,,,,,,,0,70,0
4752,note_on,192,0,2,,,,,,,,0,52,0
4800,note_on,48,0,2,,,,,,,,0,53,64
4800,note_on,132,0,1,,,,,,,,0,69,64
4908,note_on,108,0,1,,,,,,,,0,69,0
4908,note_on,108,0,2,,,,,,,,0,53,0
5040,note_on,132,0,1,,,,,,,,0,69,64
5040,note_on,132,0,2,,,,,,,,0,60,64
5148,note_on,108,0,2,,,,,,,,0,60,0
5280,note_on,132,0,2,,,,,,,,0,55,64
5388,note_on,108,0,2,,,,,,,,0,55,0
5424,note_on,384,0,1,,,,,,,,0,69,0
5520,note_on,96,0,1,,,,,,,,0,67,64
5520,note_on,132,0,2,,,,,,,,0,48,64
5628,note_on,108,0,2,,,,,,,,0,48,0
5628,note_on,108,0,1,,,,,,,,0,67,0
5760,note_on,132,0,1,,,,,,,,0,77,64
5760,note_on,132,0,2,,,,,,,,0,53,64
5856,note_on,96,0,1,,,,,,,,0,77,0
5880,note_on,24,0,1,,,,,,,,0,81,64
5976,note_on,96,0,1,,,,,,,,0,81,0
6000,note_on,24,0,1,,,,,,,,0,72,64
6108,note_on,108,0,1,,,,,,,,0,72,0
6144,note_on,384,0,2,,,,,,,,0,53,0
6240,note_on,96,0,2,,,,,,,,0,57,64
6240,note_on,132,0,1,,,,,,,,0,72,64
6348,note_on,108,0,2,,,,,,,,0,57,0
6348,note_on,108,0,1,,,,,,,,0,72,0
6480,note_on,132,0,2,,,,,,,,0,58,64
6480,note_on,132,0,1,,,,,,,,0,74,64
6576,note_on,96,0,1,,,,,,,,0,74,0
6600,note_on,24,0,1,,,,,,,,0,77,64
6696,note_on,96,0,1,,,,,,,,0,77,0
6720,note_on,24,0,1,,,,,,,,0,70,64
6828,note_on,108,0,1,,,,,,,,0,70,0
6864,note_on,384,0,2,,,,,,,,0,58,0
6960,note_on,132,0,1,,,,,,,,0,70,64
6960,note_on,96,0,2,,,,,,,,0,58,64
7068,note_on,108,0,1,,,,,,,,0,70,0
7068,note_on,108,0,2,,,,,,,,0,58,0
7200,note_on,132,0,1,,,,,,,,0,69,64
7200,note_on,132,0,2,,,,,,,,0,60,64
7296,note_on,96,0,1,,,,,,,,0,69,0
7320,note_on,24,0,1,,,,,,,,0,72,64
7416,note_on,96,0,1,,,,,,,,0,72,0
7440,note_on,24,0,1,,,,,,,,0,65,64
7548,note_on,108,0,1,,,,,,,,0,65,0
7584,note_on,384,0,2,,,,,,,,0,60,0
7680,note_on,96,0,2,,,,,,,,0,48,64
7680,note_on,132,0,1,,,,,,,,0,64,64
7788,note_on,108,0,2,,,,,,,,0,48,0
7788,note_on,108,0,1,,,,,,,,0,64,0
7920,note_on,132,0,1,,,,,,,,0,64,64
7920,note_on,132,0,2,,,,,,,,0,53,64
8028,note_on,108,0,2,,,,,,,,0,53,0
8160,note_on,132,0,2,,,,,,,,0,48,64
8268,note_on,108,0,2,,,,,,,,0,48,0
8304,note_on,384,0,1,,,,,,,,0,64,0
8400,note_on,132,0,2,,,,,,,,0,41,64
8400,note_on,96,0,1,,,,,,,,0,65,64
8508,note_on,108,0,2,,,,,,,,0,41,0
8592,note_on,192,0,1,,,,,,,,0,65,0
8640,note_on,132,0,2,,,,,,,,0,48,64
8640,note_on,48,0,1,,,,,,,,0,60,64
8736,note_on,96,0,1,,,,,,,,0,60,0
8760,note_on,24,0,1,,,,,,,,0,64,64
8856,note_on,96,0,1,,,,,,,,0,64,0
8880,note_on,24,0,1,,,,,,,,0,67,64
8988,note_on,108,0,1,,,,,,,,0,67,0
9120,note_on,132,0,1,,,,,,,,0,67,64
9216,note_on,576,0,2,,,,,,,,0,48,0
9228,note_on,108,0,1,,,,,,,,0,67,0
9360,note_on,132,0,1,,,,,,,,0,60,64
9360,note_on,144,0,2,,,,,,,,0,48,64
9456,note_on,96,0,1,,,,,,,,0,60,0
9480,note_on,24,0,1,,,,,,,,0,65,64
9576,note_on,96,0,1,,,,,,,,0,65,0
9600,note_on,24,0,1,,,,,,,,0,69,64
9708,note_on,108,0,1,,,,,,,,0,69,0
9840,note_on,132,0,1,,,,,,,,0,69,64
9936,note_on,576,0,2,,,,,,,,0,48,0
9948,note_on,108,0,1,,,,,,,,0,69,0
10080,note_on,132,0,1,,,,,,,,0,60,64
10080,note_on,144,0,2,,,,,,,,0,48,64
10116,note_on,36,0,1,,,,,,,,0,60,0
10160,note_on,44,0,1,,,,,,,,0,64,64
10196,note_on,36,0,1,,,,,,,,0,64,0
10240,note_on,44,0,1,,,,,,,,0,67,64
10272,note_on,192,0,2,,,,,,,,0,48,0
