tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,12,7,96,,
0,program_change,0,0,9,,,,,,,48,12,,,,
0,track_name,0,1,9,,,,,,,,,,,,
0,note_on,0,0,8,,,,,,,,11,,,55,80
0,note_on,0,0,8,,,,,,,,11,,,64,80
0,note_on,0,0,8,,,,,,,,11,,,72,80
0,control_change,0,0,8,,,,,,,,11,11,127,,
0,control_change,0,0,8,,,,,,,,11,121,0,,
0,control_change,0,0,8,,,,,,,,11,10,31,,
0,control_change,0,0,8,,,,,,,,11,7,96,,
0,program_change,0,0,8,,,,,,,48,11,,,,
0,track_name,0,1,8,,,,,,,,,,,,
0,note_on,0,0,7,,,,,,,,2,,,72,80
0,control_change,0,0,7,,,,,,,,2,11,127,,
0,control_change,0,0,7,,,,,,,,2,121,0,,
0,control_change,0,0,7,,,,,,,,2,10,58,,
0,control_change,0,0,7,,,,,,,,2,7,112,,
0,program_change,0,0,7,,,,,,,56,2,,,,
0,track_name,0,1,7,,,,,,,,,,,,
0,note_on,0,0,6,,,,,,,,1,,,60,80
0,control_change,0,0,6,,,,,,,,1,11,127,,
0,control_change,0,0,6,,,,,,,,1,121,0,,
0,control_change,0,0,6,,,,,,,,1,10,45,,
0,control_change,0,0,6,,,,,,,,1,7,104,,
0,program_change,0,0,6,,,,,,,60,1,,,,
0,control_change,0,0,9,,,,,,,,12,10,43,,
0,track_name,0,1,6,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,12,121,0,,
0,note_on,0,0,9,,,,,,,,12,,,72,80
0,track_name,0,1,13,,,,,,,,,,,,
0,note_on,0,0,12,,,,,,,,15,,,48,80
0,control_change,0,0,12,,,,,,,,15,11,127,,
0,control_change,0,0,12,,,,,,,,15,121,0,,
0,control_change,0,0,12,,,,,,,,15,10,80,,
0,control_change,0,0,12,,,,,,,,15,7,96,,
0,program_change,0,0,12,,,,,,,48,15,,,,
0,track_name,0,1,12,,,,,,,,,,,,
0,note_on,0,0,11,,,,,,,,14,,,60,80
0,control_change,0,0,11,,,,,,,,14,11,127,,
0,control_change,0,0,11,,,,,,,,14,121,0,,
0,control_change,0,0,11,,,,,,,,14,10,100,,
0,control_change,0,0,11,,,,,,,,14,7,96,,
0,program_change,0,0,11,,,,,,,48,14,,,,
0,track_name,0,1,11,,,,,,,,,,,,
0,note_on,0,0,10,,,,,,,,13,,,72,80
0,control_change,0,0,10,,,,,,,,13,11,127,,
0,control_change,0,0,10,,,,,,,,13,121,0,,
0,control_change,0,0,10,,,,,,,,13,10,86,,
0,control_change,0,0,10,,,,,,,,13,7,96,,
0,program_change,0,0,10,,,,,,,48,13,,,,
0,track_name,0,1,10,,,,,,,,,,,,
0,end_of_track,0,1,13,,,,,,,,,,,,
0,note_on,0,0,9,,,,,,,,12,,,55,80
0,note_on,0,0,9,,,,,,,,12,,,64,80
0,control_change,0,0,9,,,,,,,,12,11,127,,
0,note_on,0,0,5,,,,,,,,0,,,72,80
0,end_of_track,0,1,14,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,0,121,0,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,set_tempo,0,1,0,,,,,,416667,,,,,,
0,marker,0,1,0,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,0,10,82,,
0,control_change,0,0,5,,,,,,,,0,7,96,,
0,program_change,0,0,5,,,,,,,68,0,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,end_of_track,0,1,2,,,,,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,
0,end_of_track,0,1,1,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,0,11,127,,
0,track_name,0,1,2,,,,,,,,,,,,
224,note_on,224,0,12,,,,,,,,15,,,48,0
224,note_on,224,0,6,,,,,,,,1,,,60,0
224,note_on,224,0,7,,,,,,,,2,,,72,0
224,note_on,0,0,9,,,,,,,,12,,,64,0
224,note_on,224,0,8,,,,,,,,11,,,55,0
224,note_on,0,0,8,,,,,,,,11,,,64,0
224,note_on,0,0,8,,,,,,,,11,,,72,0
224,note_on,224,0,10,,,,,,,,13,,,72,0
224,note_on,0,0,9,,,,,,,,12,,,72,0
224,note_on,224,0,11,,,,,,,,14,,,60,0
224,note_on,224,0,9,,,,,,,,12,,,55,0
224,note_on,224,0,5,,,,,,,,0,,,72,0
240,note_on,16,0,8,,,,,,,,11,,,67,80
240,note_on,16,0,6,,,,,,,,1,,,55,80
240,note_on,16,0,10,,,,,,,,13,,,67,80
240,note_on,16,0,5,,,,,,,,0,,,67,80
240,note_on,16,0,12,,,,,,,,15,,,43,80
240,note_on,16,0,9,,,,,,,,12,,,67,80
240,note_on,16,0,7,,,,,,,,2,,,67,80
240,note_on,16,0,11,,,,,,,,14,,,55,80
479,note_on,239,0,6,,,,,,,,1,,,55,0
