tick,type,port,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,midi_port,0,0,1,0,,,,,,,,,,,,,
0,note_on,,0,0,1,,,,,,,,,0,,,64,103
0,track_name,,0,1,7,,,,,,,,,,,,,
0,midi_port,0,0,1,2,,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,program_change,,0,0,2,,,,,,,,0,1,,,,
0,control_change,,0,0,2,,,,,,,,,1,7,127,,
0,control_change,,0,0,2,,,,,,,,,1,7,127,,
0,control_change,,0,0,2,,,,,,,,,1,10,44,,
0,control_change,,0,0,2,,,,,,,,,1,121,0,,
0,control_change,,0,0,2,,,,,,,,,1,91,75,,
0,note_on,,0,0,2,,,,,,,,,1,,,52,90
0,note_on,,0,0,2,,,,,,,,,1,,,60,95
0,note_on,,0,0,2,,,,,,,,,1,,,55,90
0,note_on,,0,0,2,,,,,,,,,1,,,36,82
0,note_on,,0,0,2,,,,,,,,,1,,,48,72
0,midi_port,0,0,1,3,,,,,,,,,,,,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,
0,midi_port,0,0,1,4,,,,,,,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,
0,midi_port,0,0,1,5,,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,
0,end_of_track,,0,1,5,,,,,,,,,,,,,
0,midi_port,0,0,1,6,,,,,,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,
0,end_of_track,,0,1,6,,,,,,,,,,,,,
0,midi_port,0,0,1,7,,,,,,,,,,,,,
0,note_on,,0,0,1,,,,,,,,,0,,,67,86
0,note_on,,0,0,1,,,,,,,,,0,,,84,99
0,end_of_track,,0,1,7,,,,,,,,,,,,,
0,note_on,,0,0,1,,,,,,,,,0,,,76,103
0,sysex,,0,0,0,"(126, 127, 9, 1)",,,,,,,,,,,,
0,time_signature,,0,1,0,,4,4,24,8,,,,,,,,
0,key_signature,,0,1,0,,,,,,C,,,,,,,
0,set_tempo,,0,1,0,,,,,,,461538,,,,,,
0,marker,,0,1,0,,,,,,,,,,,,,
0,note_on,,0,0,1,,,,,,,,,0,,,72,99
0,control_change,,0,0,1,,,,,,,,,0,7,121,,
0,control_change,,0,0,1,,,,,,,,,0,7,121,,
0,program_change,,0,0,1,,,,,,,,0,0,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,midi_port,0,0,1,1,,,,,,,,,,,,,
0,midi_port,0,0,1,0,,,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,,,,0,10,84,,
0,control_change,,0,0,1,,,,,,,,,0,91,75,,
0,control_change,,0,0,1,,,,,,,,,0,121,0,,
2,control_change,,2,0,1,,,,,,,,,0,64,127,,
19,control_change,,19,0,2,,,,,,,,,1,64,127,,
133,note_on,,131,0,1,,,,,,,,,0,,,72,0
138,note_on,,5,0,1,,,,,,,,,0,,,76,0
142,note_on,,4,0,1,,,,,,,,,0,,,84,0
146,note_on,,4,0,1,,,,,,,,,0,,,67,0
147,note_on,,1,0,1,,,,,,,,,0,,,64,0
169,note_on,,150,0,2,,,,,,,,,1,,,48,0
169,note_on,,0,0,2,,,,,,,,,1,,,55,0
169,note_on,,0,0,2,,,,,,,,,1,,,36,0
171,note_on,,2,0,2,,,,,,,,,1,,,52,0
173,note_on,,2,0,2,,,,,,,,,1,,,60,0
239,control_change,,92,0,1,,,,,,,,,0,64,0,,
240,note_on,,0,0,2,,,,,,,,,1,,,48,72
240,note_on,,0,0,2,,,,,,,,,1,,,52,86
240,note_on,,0,0,2,,,,,,,,,1,,,55,90
240,note_on,,67,0,2,,,,,,,,,1,,,60,95
240,note_on,,0,0,2,,,,,,,,,1,,,36,86
240,note_on,,0,0,1,,,,,,,,,0,,,76,103
240,note_on,,0,0,1,,,,,,,,,0,,,72,90
240,note_on,,1,0,1,,,,,,,,,0,,,84,95
240,note_on,,0,0,1,,,,,,,,,0,,,64,90
240,note_on,,0,0,1,,,,,,,,,0,,,67,86
242,control_change,,2,0,2,,,,,,,,,1,64,0,,
271,control_change,,31,0,1,,,,,,,,,0,64,127,,
277,control_change,,35,0,2,,,,,,,,,1,64,127,,
387,note_on,,110,0,2,,,,,,,,,1,,,36,0
387,note_on,,0,0,2,,,,,,,,,1,,,52,0
388,note_on,,1,0,2,,,,,,,,,1,,,48,0
389,note_on,,1,0,2,,,,,,,,,1,,,60,0
391,note_on,,2,0,2,,,,,,,,,1,,,55,0
392,note_on,,121,0,1,,,,,,,,,0,,,72,0
395,note_on,,3,0,1,,,,,,,,,0,,,76,0
398,note_on,,3,0,1,,,,,,,,,0,,,84,0
401,note_on,,3,0,1,,,,,,,,,0,,,64,0
402,note_on,,1,0,1,,,,,,,,,0,,,67,0
475,control_change,,73,0,1,,,,,,,,,0,64,0,,
480,note_on,,0,0,2,,,,,,,,,1,,,36,95
480,note_on,,0,0,2,,,,,,,,,1,,,48,82
